Gamma_x,Gamma_y,Gamma_z,mkc_gap
1.230912270167693334e+00,1.877952369587218895e+00,1.196483510669711814e+00,2.747217056250932377e-01
7.394336969464809783e-01,1.269680810282941774e+00,6.263642322750674341e-01,4.805855946930326361e-02
4.685521913060240462e-01,8.967705361944215969e-01,6.796296844766022138e-01,1.257056697941023593e-01
1.300911045309776748e+00,1.255628407990995843e+00,8.366957117669679977e-01,3.957065372240935464e-01
1.298143652265829617e+00,9.779619009114786099e-01,7.882563668729487549e-01,2.340373077592989848e-01
3.053964505076829927e-01,1.269762694999907460e+00,1.311137490781248305e+00,1.320108273631710460e-01
5.246821718146162938e-01,4.911983797354848580e-01,5.582585417945066242e-01,2.288110048777972638e-01
5.821758192497705764e-01,4.272586425896155449e-01,4.112283327523148513e-01,1.281555780460799099e-01
1.253460867045363081e+00,1.058364531608161352e+00,1.387650088102825086e+00,4.620876552753496735e-01
4.949884318174319064e-01,5.802552316175955127e-01,3.849060232177894392e-01,1.498196117088128609e-01
1.648466150266927555e+00,1.288611376353365534e+00,8.361475584667621419e-01,2.381463922766000607e-01
3.573112809780366605e-01,9.526423496874412145e-01,1.146834521107598981e+00,8.155955477893939154e-02
1.007286506159569717e+00,5.802053155824279385e-01,6.639524346628418172e-01,1.184356220428499640e-01
4.725907083540043518e-01,1.166905629101727460e+00,9.689379579681320909e-01,1.373115186102045193e-01
1.338327064580631554e+00,1.474873037983454482e+00,1.534463045713228446e+00,6.393685284254289058e-01
4.382178763223436024e-01,1.352684174671457296e+00,1.257393802831013208e+00,1.714637522409496739e-01
1.872680032271617279e+00,1.872980526059349060e+00,1.391823436354054033e+00,6.957614712831610149e-01
1.641518482679939162e+00,2.094098284808620924e+00,1.895047049708655340e+00,7.212336237899865665e-01
9.328616783588541406e-01,1.587660498142921206e+00,1.043204785652237288e+00,1.942029829340852221e-01
6.776861259725068809e-01,6.159763856299858009e-01,8.510832202939275781e-01,2.212896456542825518e-01
1.902016064338880597e+00,9.214532779976198906e-01,1.079896906104719667e+00,4.966705988172970265e-02
8.982875648335530983e-01,1.436727176342814882e+00,1.286664052099512290e+00,3.741122202951252529e-01
1.751997681185557099e+00,1.257752596152042379e+00,9.828030836223682343e-01,2.442789992944267574e-01
1.465348536992266748e+00,1.285577936428229595e+00,2.066643471681274491e+00,3.421415008696109261e-01
8.491000004586214400e-01,1.515654019578624334e+00,1.040535373243963502e+00,1.869906770619802483e-01
1.335669159593090738e+00,8.367533686854817798e-01,8.346950382105036148e-01,1.678896236514473284e-01
1.310308028076312414e+00,1.307355706914746563e+00,8.878747837026232936e-01,4.424612312705287209e-01
6.836081124665398523e-01,7.687634032049607269e-01,1.110874614211323053e+00,1.707484507300887078e-01
2.190100683748725352e+00,1.534960101133801436e+00,1.390053346944949197e+00,3.674563821650127515e-01
2.103626232769845394e+00,1.526375123566835912e+00,1.523022643996552627e+00,4.728857673967716835e-01
1.205027380304938500e+00,1.140401898975951678e+00,6.506163300659539850e-01,2.929954243684835813e-01
1.611639165853992806e+00,8.584667940115089380e-01,1.543115105818902988e+00,3.949713669882097822e-01
1.148288943810417129e+00,1.174864473727029957e+00,1.747494196014411916e+00,2.878296107615176957e-01
5.890046441550118583e-01,1.212223619937803587e+00,1.465855844100627969e+00,1.676862099960936270e-01
1.338395912516149533e+00,8.724565973766069682e-01,6.623090404905480622e-01,9.818486267550285973e-02
1.366937010328731050e+00,7.051210973457691100e-01,1.371421445512813087e+00,3.503183310808435369e-01
4.230591249118081376e-01,1.367779763131790727e+00,1.101462304203565390e+00,7.837083299179137263e-02
1.006302495760991622e+00,6.719682180174726405e-01,7.843292798392749177e-01,2.249975010478779680e-01
1.740079300311806687e+00,1.210208390136533696e+00,1.525708145584323994e+00,4.979186177045256123e-01
1.469734705021987109e+00,1.719628543330893766e+00,1.234743084383030043e+00,4.924246230370616928e-01
2.005829572603118560e+00,1.722532959324214241e+00,1.527432430879960501e+00,6.220679088005280910e-01
8.905865954644117677e-01,1.095734784585696620e+00,1.294716352401759973e+00,3.458025138241742624e-01
1.894731015874310032e+00,2.065373982554800314e+00,2.025202926384482627e+00,9.272799798519963943e-01
1.611537273258717207e+00,1.361792053848760453e+00,8.433919484063343575e-01,2.968233644981888020e-01
1.648975112425538736e+00,9.901815226876889975e-01,1.309492573998905840e+00,3.253494921305279952e-01
